Name,Platform,Year,Genre,Publisher,Global_Sales,Total_Regional_Sales,Sales_Diff
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,4.45,4.4399999999999995,0.010000000000000675
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,4.47,4.459999999999999,0.010000000000000675
Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,1.11,1.0999999999999999,0.010000000000000231
Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,2.18,2.17,0.010000000000000231
Kirby Super Star Ultra,DS,2008.0,Platform,Nintendo,2.96,2.9499999999999997,0.010000000000000231
Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,2.39,2.38,0.010000000000000231
Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,2.25,2.2399999999999998,0.010000000000000231
Sly 2: Band of Thieves,PS2,2004.0,Platform,Sony Computer Entertainment,1.81,1.7999999999999998,0.010000000000000231
Petz Wild Animals: Dolphinz,DS,2007.0,Simulation,Ubisoft,1.33,1.3199999999999998,0.010000000000000231
Yokai Watch 2 Ganso/Honke,3DS,2014.0,Role-Playing,Nintendo,3.22,3.21,0.010000000000000231
Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,3.46,3.4499999999999997,0.010000000000000231
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,2.38,2.3699999999999997,0.010000000000000231
Sega Superstars Tennis,X360,2008.0,Sports,Sega,2.9,2.8899999999999997,0.010000000000000231
Dance Dance Revolution: Hottest Party 2,Wii,2008.0,Simulation,Konami Digital Entertainment,1.6,1.5899999999999999,0.010000000000000231
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,1.08,1.0699999999999998,0.010000000000000231
Super Mario Strikers,GC,2005.0,Sports,Nintendo,1.61,1.5999999999999999,0.010000000000000231
Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai Games,1.37,1.3599999999999999,0.010000000000000231
"Hey You, Pikachu!",N64,1998.0,Simulation,Nintendo,1.83,1.8199999999999998,0.010000000000000231
FIFA 15,X360,2014.0,Sports,Electronic Arts,3.11,3.0999999999999996,0.010000000000000231
The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment,1.35,1.3399999999999999,0.010000000000000231
Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.35,1.3399999999999999,0.010000000000000231
The Legend of Zelda: Link's Awakening DX,GB,1998.0,Adventure,Nintendo,2.22,2.21,0.010000000000000231
Madden NFL 25,X360,2013.0,Sports,Electronic Arts,2.18,2.17,0.010000000000000231
NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,2.32,2.3099999999999996,0.010000000000000231
SingStar Rocks!,PS2,2006.0,Misc,Sony Computer Entertainment,1.1,1.0899999999999999,0.010000000000000231
Crysis 2,X360,2011.0,Action,Electronic Arts,1.35,1.3399999999999999,0.010000000000000231
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,3.6399999999999997,0.010000000000000231
Rhythm Heaven,DS,2008.0,Misc,Nintendo,3.17,3.1599999999999997,0.010000000000000231
High School Musical 3: Senior Year,DS,2008.0,Misc,Disney Interactive Studios,1.58,1.5699999999999998,0.010000000000000231
Rock Band 2,PS3,2008.0,Misc,MTV Games,1.5,1.4899999999999998,0.010000000000000231
Ratchet & Clank,PS2,2002.0,Platform,Sony Computer Entertainment,3.33,3.32,0.010000000000000231
GoldenEye 007 (2010),Wii,2010.0,Action,Activision,1.86,1.8499999999999999,0.010000000000000231
Sonic Unleashed,Wii,2008.0,Platform,Sega,2.2,2.19,0.010000000000000231
Dance Dance Revolution X2,PS2,2009.0,Simulation,Konami Digital Entertainment,2.23,2.2199999999999998,0.010000000000000231
Project Gotham Racing (JP weekly sales),XB,2002.0,Action,Microsoft Game Studios,2.1,2.09,0.010000000000000231
Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,3.48,3.4699999999999998,0.010000000000000231
Call of Duty: Finest Hour,PS2,2004.0,Shooter,Activision,2.89,2.88,0.010000000000000231
Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,2.06,2.05,0.010000000000000231
Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,2.68,2.67,0.010000000000000231
Dynasty Warriors 4,PS2,2003.0,Action,Tecmo Koei,2.11,2.0999999999999996,0.010000000000000231
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,3.7,3.69,0.010000000000000231
Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,3.71,3.6999999999999997,0.010000000000000231
Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,Electronic Arts,2.11,2.0999999999999996,0.010000000000000231
.hack//Infection Part 1,PS2,2002.0,Role-Playing,Atari,1.27,1.2599999999999998,0.010000000000000231
Silent Hill 2,PS2,2001.0,Action,Konami Digital Entertainment,1.28,1.2699999999999998,0.010000000000000231
Monster Hunter Tri,3DS,2011.0,Role-Playing,Nintendo,2.79,2.78,0.010000000000000231
Rage,X360,2011.0,Shooter,Bethesda Softworks,1.62,1.6099999999999999,0.010000000000000231
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,2.08,2.07,0.010000000000000231
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,3.54,3.53,0.010000000000000231
Valkyria Chronicles,PS3,2008.0,Role-Playing,Sega,1.29,1.2799999999999998,0.010000000000000231
Tony Hawk's Underground,PS2,2003.0,Sports,Activision,3.9,3.8899999999999997,0.010000000000000231
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,Nintendo,2.06,2.05,0.010000000000000231
Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,3.83,3.82,0.010000000000000231
FIFA 16,XOne,2015.0,Sports,Electronic Arts,3.23,3.2199999999999998,0.010000000000000231
F-Zero,SNES,1990.0,Racing,Nintendo,2.85,2.84,0.010000000000000231
Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,Midway Games,2.49,2.48,0.010000000000000231
High School Musical 3: Senior Year DANCE!,Wii,2008.0,Misc,Disney Interactive Studios,1.31,1.2999999999999998,0.010000000000000231
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,3.52,3.51,0.010000000000000231
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,3.99,3.98,0.010000000000000231
Avatar: The Game,X360,2009.0,Action,Ubisoft,0.78,0.7699999999999999,0.01000000000000012
The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,THQ,0.9,0.8899999999999999,0.01000000000000012
Wii Play: Motion,Wii,2011.0,Misc,Nintendo,0.95,0.9399999999999998,0.01000000000000012
Banjo-Kazooie: Nuts & Bolts,X360,2008.0,Platform,Microsoft Game Studios,0.78,0.7699999999999999,0.01000000000000012
True Crime: New York City,PS2,2005.0,Action,Activision,0.76,0.7499999999999999,0.01000000000000012
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,Activision,0.93,0.9199999999999999,0.01000000000000012
Sega Superstars Tennis,DS,2008.0,Sports,Sega,0.75,0.7399999999999999,0.01000000000000012
Guitar Hero Live,PS4,2015.0,Misc,Activision,0.81,0.7999999999999999,0.01000000000000012
Pokken Tournament,WiiU,2016.0,Fighting,Namco Bandai Games,0.93,0.9199999999999999,0.01000000000000012
Final Fantasy XI: Wings of the Goddess,PS2,2007.0,Role-Playing,Square Enix,0.81,0.7999999999999999,0.01000000000000012
Epic Mickey: Power of Illusion,3DS,2012.0,Action,Disney Interactive Studios,0.49,0.4799999999999999,0.010000000000000064
"Barbie: Jet, Set & Style!",DS,2011.0,Misc,THQ,0.46,0.44999999999999996,0.010000000000000064
DanceStar Party,PS3,2011.0,Misc,Sony Computer Entertainment,0.46,0.44999999999999996,0.010000000000000064
American Girl: Kit Mystery Challenge!,DS,2008.0,Adventure,THQ,0.46,0.44999999999999996,0.010000000000000064
Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,LucasArts,0.4,0.38999999999999996,0.010000000000000064
Bee Movie Game,DS,2007.0,Action,Activision,0.45,0.43999999999999995,0.010000000000000064
I-Ninja,PS2,2003.0,Platform,Sony Computer Entertainment,0.4,0.38999999999999996,0.010000000000000064
Tomb Raider: Legend,PSP,2006.0,Action,Eidos Interactive,0.46,0.44999999999999996,0.010000000000000064
Just Dance 2016,XOne,2015.0,Misc,Ubisoft,0.32,0.30999999999999994,0.010000000000000064
Metal Gear Rising: Revengeance,X360,2013.0,Action,Konami Digital Entertainment,0.5,0.48999999999999994,0.010000000000000064
Dead or Alive: Dimensions,3DS,2011.0,Fighting,Ubisoft Annecy,0.45,0.43999999999999995,0.010000000000000064
Angry Birds Star Wars,3DS,2013.0,Strategy,Activision,0.34,0.32999999999999996,0.010000000000000064
iCarly,Wii,2009.0,Adventure,Activision,0.46,0.44999999999999996,0.010000000000000064
No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.41,0.3999999999999999,0.010000000000000064
DanceDanceRevolution,PS3,2010.0,Simulation,Konami Digital Entertainment,0.2,0.18999999999999997,0.010000000000000037
Loving Life with Hello Kitty & Friends,DS,2011.0,Misc,Rising Star Games,0.26,0.24999999999999997,0.010000000000000037
F1 2014,X360,2014.0,Racing,Codemasters,0.26,0.24999999999999997,0.010000000000000037
Game of Thrones,X360,2012.0,Role-Playing,Focus Home Interactive,0.26,0.24999999999999997,0.010000000000000037
Demon Gaze,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.2,0.18999999999999997,0.010000000000000037
Battlestations: Midway,X360,2007.0,Strategy,Eidos Interactive,0.26,0.24999999999999997,0.010000000000000037
Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,0.26,0.24999999999999997,0.010000000000000037
MLB 15: The Show,PS3,2015.0,Sports,Sony Computer Entertainment,0.39,0.38,0.010000000000000009
Persona 4: Arena,PS3,2012.0,Fighting,Atlus,0.74,0.73,0.010000000000000009
Tiger Woods PGA Tour 14,PS3,2013.0,Sports,Electronic Arts,0.39,0.38,0.010000000000000009
Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,Disney Interactive Studios,1.39,1.38,0.010000000000000009
True Crime: New York City,GC,2005.0,Action,Activision,0.17,0.16,0.010000000000000009
Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,1.39,1.38,0.010000000000000009
TOCA Race Driver 2: Ultimate Racing Simulator,PSP,2005.0,Racing,Codemasters,0.26,0.25,0.010000000000000009
Mind Zero,PSV,2013.0,Role-Playing,GungHo,0.15,0.13999999999999999,0.010000000000000009
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.74,0.73,0.010000000000000009
BattleTanx: Global Assault,N64,1999.0,Action,3DO,0.39,0.38,0.010000000000000009
Extreme-G: XG2,N64,1998.0,Racing,Acclaim Entertainment,0.39,0.38,0.010000000000000009
Delta Force: Black Hawk Down,XB,2005.0,Shooter,NovaLogic,0.34,0.33,0.010000000000000009
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,Nintendo,0.26,0.25,0.010000000000000009
MVP 06 NCAA Baseball,PS2,2006.0,Sports,Electronic Arts,0.75,0.74,0.010000000000000009
Tomb Raider: Underworld (Others sales),PS2,2009.0,Adventure,Eidos Interactive,0.26,0.25,0.010000000000000009
Tales of Vesperia,X360,2008.0,Role-Playing,Atari,0.75,0.74,0.010000000000000009
Tiger Woods PGA Tour 2001,PS2,2001.0,Sports,Electronic Arts,0.74,0.73,0.010000000000000009
World Championship Poker 2: Featuring Howard Lederer,PS2,2005.0,Misc,Oxygen Interactive,0.34,0.33,0.010000000000000009
Dead Rising 2,PS3,2010.0,Action,Capcom,1.38,1.3699999999999999,0.010000000000000009
NBA Jam,SNES,1994.0,Sports,Acclaim Entertainment,1.39,1.38,0.010000000000000009
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,Activision,0.75,0.74,0.010000000000000009
Bionicle: Matoran Adventures,GBA,2002.0,Platform,Electronic Arts,0.26,0.25,0.010000000000000009
MXRider,PS2,2001.0,Racing,Atari,0.34,0.33,0.010000000000000009
Major League Baseball 2K10,PSP,2010.0,Sports,Take-Two Interactive,0.07,0.06,0.010000000000000009
Mega Man: Battle & Chase,PS,1997.0,Racing,Capcom,0.07,0.06,0.010000000000000009
Smart Girl's Party Game,DS,2008.0,Misc,505 Games,0.34,0.33,0.010000000000000009
Point Blank,PS,1997.0,Shooter,Sony Computer Entertainment,0.34,0.33,0.010000000000000009
Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,1.3,1.29,0.010000000000000009
My Amusement Park,DS,2010.0,Misc,Scholastic Inc.,0.07,0.06,0.010000000000000009
FIFA Street,PS3,2012.0,Sports,Electronic Arts,1.29,1.28,0.010000000000000009
Penguins of Madagascar,3DS,2014.0,Action,Namco Bandai Games,0.07,0.06,0.010000000000000009
Transformers,PS2,2004.0,Shooter,Atari,1.29,1.28,0.010000000000000009
MVP 06 NCAA Baseball,XB,2006.0,Sports,Electronic Arts,0.34,0.33,0.010000000000000009
Heavenly Guardian,Wii,2007.0,Shooter,505 Games,0.07,0.06,0.010000000000000009
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Racing,Take-Two Interactive,1.29,1.28,0.010000000000000009
LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.010000000000000009
Farming Simulator 2013,X360,2013.0,Simulation,Focus Home Interactive,0.39,0.38,0.010000000000000009
Off Road Challenge,N64,1998.0,Racing,GT Interactive,0.34,0.33,0.010000000000000009
Twisted Metal 4,PS,1999.0,Racing,989 Studios,1.28,1.27,0.010000000000000009
Star Wars Episode II: Attack of the Clones,GBA,2002.0,Action,THQ,0.77,0.76,0.010000000000000009
Marvel Nemesis: Rise of the Imperfects,PS2,2005.0,Fighting,Electronic Arts,0.77,0.76,0.010000000000000009
Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,1.27,1.26,0.010000000000000009
Jet Li: Rise to Honor,PS2,2004.0,Action,Sony Computer Entertainment,1.27,1.26,0.010000000000000009
Pizza Delivery Boy,Wii,2010.0,Simulation,Majesco Entertainment,0.07,0.06,0.010000000000000009
AMF Bowling Pinbusters!,DS,2008.0,Sports,Vir2L Studios,0.07,0.06,0.010000000000000009
Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.77,0.76,0.010000000000000009
Terraria,PSV,2013.0,Action,Screenlife,0.11,0.09999999999999999,0.010000000000000009
Need for Speed Carbon,PS3,2006.0,Racing,Electronic Arts,1.26,1.25,0.010000000000000009
Crysis 2,PS3,2011.0,Action,Electronic Arts,1.3,1.29,0.010000000000000009
Madagascar,PS2,2005.0,Platform,Activision,1.31,1.3,0.010000000000000009
Skylanders Giants,X360,2012.0,Action,Activision,1.32,1.31,0.010000000000000009
Spy Hunter,XB,2002.0,Racing,Midway Games,0.34,0.33,0.010000000000000009
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005.0,Shooter,Ubisoft,0.39,0.38,0.010000000000000009
Power Rangers Samurai,DS,2011.0,Action,Namco Bandai Games,0.34,0.33,0.010000000000000009
Junior Classic Games,DS,2009.0,Misc,Avanquest,0.39,0.38,0.010000000000000009
Dark Souls II,X360,2014.0,Role-Playing,Namco Bandai Games,0.76,0.75,0.010000000000000009
Centipede,2600,1981.0,Shooter,Atari,1.36,1.35,0.010000000000000009
Yoshi's New Island,3DS,2014.0,Platform,Nintendo,1.36,1.35,0.010000000000000009
Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,1.36,1.35,0.010000000000000009
Dynasty Warriors: Gundam 2,PS2,2008.0,Action,Namco Bandai Games,0.34,0.33,0.010000000000000009
Kane & Lynch: Dead Men,PS3,2007.0,Shooter,Eidos Interactive,0.76,0.75,0.010000000000000009
Namco Museum DS,DS,2007.0,Misc,Atari,1.35,1.34,0.010000000000000009
That's So Raven,GBA,2004.0,Adventure,Disney Interactive Studios,0.76,0.75,0.010000000000000009
Buzz! The Ultimate Music Quiz,PS3,2010.0,Misc,Sony Computer Entertainment,0.34,0.33,0.010000000000000009
Airlock,2600,1981.0,Action,Data Age,0.39,0.38,0.010000000000000009
Fight Night Round 2,GC,2005.0,Fighting,Electronic Arts,0.17,0.16,0.010000000000000009
The Sims 3: Town Life Stuff,PC,2011.0,Simulation,Electronic Arts,0.34,0.33,0.010000000000000009
Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.34,1.33,0.010000000000000009
Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,1.34,1.33,0.010000000000000009
Dance Party: Pop Hits,Wii,2009.0,Misc,Nordic Games,0.39,0.38,0.010000000000000009
Your Shape: Fitness Evolved,X360,2010.0,Sports,Ubisoft,1.33,1.32,0.010000000000000009
Phantasy Star Ø,DS,2008.0,Role-Playing,Sega,0.38,0.37,0.010000000000000009
UFC Undisputed 2010,X360,2010.0,Fighting,THQ,1.33,1.32,0.010000000000000009
Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,1.33,1.32,0.010000000000000009
Imagine: Movie Star,DS,2008.0,Simulation,Ubisoft,0.34,0.33,0.010000000000000009
Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.39,0.38,0.010000000000000009
The House of The Dead III,XB,2002.0,Shooter,Sega,0.39,0.38,0.010000000000000009
Resident Evil (Remake),GC,2002.0,Action,Capcom,1.42,1.41,0.010000000000000009
Mario Party 7,GC,2005.0,Misc,Nintendo,1.57,1.56,0.010000000000000009
Major League Baseball 2K6,XB,2006.0,Sports,Take-Two Interactive,0.33,0.32,0.010000000000000009
Aqua Aqua,PS2,2000.0,Puzzle,3DO,0.11,0.09999999999999999,0.010000000000000009
Atari Anthology,PS2,2004.0,Misc,Atari,0.4,0.39,0.010000000000000009
Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995.0,Fighting,Tomy Corporation,0.33,0.32,0.010000000000000009
Discovery Kids: Puppy Playtime,DS,2009.0,Simulation,505 Games,0.33,0.32,0.010000000000000009
Race Pro,X360,2009.0,Racing,Atari,0.18,0.16999999999999998,0.010000000000000009
Driver: San Francisco,Wii,2011.0,Racing,Ubisoft,0.18,0.16999999999999998,0.010000000000000009
Kirby Air Ride,GC,2003.0,Racing,Nintendo,1.62,1.61,0.010000000000000009
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013.0,Misc,Ubisoft,0.12,0.10999999999999999,0.010000000000000009
Fireball,2600,1981.0,Action,Starpath Corp.,0.33,0.32,0.010000000000000009
Disney's Chicken Little,GBA,2005.0,Platform,Disney Interactive Studios,0.7,0.69,0.010000000000000009
Karaoke Revolution Presents American Idol Encore 2,Wii,2008.0,Misc,Konami Digital Entertainment,0.33,0.32,0.010000000000000009
F-1 World Grand Prix,N64,1998.0,Racing,Video System,1.6,1.59,0.010000000000000009
Silent Hill,PS,1999.0,Action,Konami Digital Entertainment,1.6,1.59,0.010000000000000009
Dragon Quest V: Hand of the Heavenly Bride,DS,2008.0,Role-Playing,Square Enix,1.6,1.59,0.010000000000000009
LEGO The Lord of the Rings,PSV,2012.0,Action,Warner Bros. Interactive Entertainment,0.33,0.32,0.010000000000000009
Sonic Heroes,GC,2003.0,Platform,Sega,1.6,1.59,0.010000000000000009
MLB 2006,PS2,2005.0,Sports,Sony Computer Entertainment,0.4,0.39,0.010000000000000009
Clash of the Titans,PS3,2010.0,Action,Namco Bandai Games,0.33,0.32,0.010000000000000009
Soul Edge,PS,1996.0,Fighting,Sony Computer Entertainment,1.59,1.58,0.010000000000000009
SoulCalibur IV,X360,2008.0,Fighting,Ubisoft,1.59,1.58,0.010000000000000009
Petz: Crazy Monkeyz,Wii,2008.0,Simulation,Ubisoft,0.26,0.25,0.010000000000000009
NASCAR 2000,PS,1999.0,Racing,Electronic Arts,1.59,1.58,0.010000000000000009
Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,Konami Digital Entertainment,0.7,0.69,0.010000000000000009
SpongeBob's Truth or Square (US sales),Wii,2009.0,Action,THQ,0.4,0.39,0.010000000000000009
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010.0,Action,THQ,0.18,0.16999999999999998,0.010000000000000009
NCAA GameBreaker 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.33,0.32,0.010000000000000009
Theme Park,DS,2007.0,Simulation,Electronic Arts,0.07,0.06,0.010000000000000009
Cartoon Network: Punch Time Explosion XL,PS3,2011.0,Fighting,Crave Entertainment,0.07,0.06,0.010000000000000009
Mortal Kombat Mythologies: Sub-Zero,N64,1997.0,Fighting,Midway Games,0.4,0.39,0.010000000000000009
Top Gear Rally,N64,1997.0,Racing,Kemco,0.4,0.39,0.010000000000000009
The Last Story,Wii,2011.0,Role-Playing,Nintendo,0.68,0.67,0.010000000000000009
Star Wars: Knights of the Old Republic,PC,2003.0,Role-Playing,LucasArts,0.14,0.13,0.010000000000000009
Army of Two: The Devil's Cartel,X360,2013.0,Shooter,Electronic Arts,0.26,0.25,0.010000000000000009
Resident Evil 4,GC,2005.0,Action,Capcom,1.69,1.68,0.010000000000000009
Contra: Legacy of War,PS,1996.0,Shooter,Konami Digital Entertainment,0.67,0.66,0.010000000000000009
Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.67,0.66,0.010000000000000009
Interactive Storybook DS Series 1,DS,2007.0,Misc,Tommo,0.07,0.06,0.010000000000000009
NBA 2K10,PS2,2009.0,Sports,Take-Two Interactive,0.4,0.39,0.010000000000000009
Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.26,0.25,0.010000000000000009
The Sims: Superstar,PC,2003.0,Simulation,Electronic Arts,1.68,1.67,0.010000000000000009
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action,LucasArts,1.68,1.67,0.010000000000000009
MySims,Wii,2007.0,Simulation,Electronic Arts,1.68,1.67,0.010000000000000009
Country Dance,Wii,2011.0,Misc,Funbox Media,0.68,0.67,0.010000000000000009
C: The Contra Adventure,PS,1998.0,Shooter,Konami Digital Entertainment,0.07,0.06,0.010000000000000009
Congo Bongo,2600,1982.0,Action,Sega,0.4,0.39,0.010000000000000009
Hidden Objects: Mystery Stories,DS,2009.0,Adventure,GSP,0.68,0.67,0.010000000000000009
RR64: Ridge Racer 64,N64,1999.0,Racing,Nintendo,0.4,0.39,0.010000000000000009
StarCraft II: Heart of the Swarm,PC,2013.0,Strategy,Activision,1.67,1.66,0.010000000000000009
Insecticide,DS,2008.0,Action,Gamecock,0.07,0.06,0.010000000000000009
Suikoden II,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.68,0.67,0.010000000000000009
Daisy Fuentes Pilates,Wii,2009.0,Sports,505 Games,0.26,0.25,0.010000000000000009
God of War Collection,PSV,2014.0,Action,Sony Computer Entertainment,0.33,0.32,0.010000000000000009
Max Payne 3,X360,2012.0,Shooter,Take-Two Interactive,1.66,1.65,0.010000000000000009
NBA Ballers,PS2,2004.0,Sports,Midway Games,1.66,1.65,0.010000000000000009
NBA Live 2003,PS2,2002.0,Sports,Electronic Arts,1.66,1.65,0.010000000000000009
Pinball Hall of Fame: The Gottlieb Collection,PS2,2004.0,Misc,Play It,0.33,0.32,0.010000000000000009
One Piece: Unlimited World Red,WiiU,2014.0,Action,Namco Bandai Games,0.07,0.06,0.010000000000000009
Mayhem 3D,X360,2011.0,Racing,Evolved Games,0.07,0.06,0.010000000000000009
Super Scope 6,SNES,1991.0,Shooter,Nintendo,1.65,1.64,0.010000000000000009
Viewtiful Joe: Double Trouble!,DS,2005.0,Action,Capcom,0.11,0.09999999999999999,0.010000000000000009
Pro Evolution Soccer 2010,PS2,2009.0,Sports,Konami Digital Entertainment,1.57,1.56,0.010000000000000009
Pandemonium 2,PS,1997.0,Platform,BMG Interactive Entertainment,0.07,0.06,0.010000000000000009
The Hobbit,GC,2003.0,Platform,Vivendi Games,0.17,0.16,0.010000000000000009
Armored Core V,PS3,2012.0,Simulation,Namco Bandai Games,0.4,0.39,0.010000000000000009
Monster Tale,DS,2011.0,Platform,Majesco Entertainment,0.07,0.06,0.010000000000000009
NASCAR 09,PS3,2008.0,Racing,Electronic Arts,0.26,0.25,0.010000000000000009
Fantasy Aquarium World,Wii,2009.0,Simulation,Destineer,0.07,0.06,0.010000000000000009
Rock Band: Metal Track Pack,PS2,2009.0,Misc,MTV Games,0.11,0.09999999999999999,0.010000000000000009
